variant_a,variant_b,case_set,n_both_solved,n_only_a,n_only_b,n_neither,jaccard,n_both_failed
A,A,c1,15,0,0,5,1.0000,5
A,A_strict,c1,12,3,0,5,0.8000,5
A,B,c1,15,0,3,2,0.8333,2
A,B_strict,c1,15,0,1,4,0.9375,4
A,C,c1,14,1,3,2,0.7778,2
A,C_strict,c1,14,1,3,2,0.7778,2
A,D,c1,13,2,1,4,0.8125,4
A,E,c1,15,0,2,3,0.8824,3
A,F,c1,12,3,0,5,0.8000,5
A,F_strict,c1,12,3,2,3,0.7059,3
A,G,c1,14,1,1,4,0.8750,4
A,G_strict,c1,12,3,1,4,0.7500,4
A,H,c1,14,1,0,5,0.9333,5
A,I,c1,14,1,1,4,0.8750,4
A,J,c1,14,1,1,4,0.8750,4
A,K,c1,11,4,0,5,0.7333,5
A,L,c1,10,5,0,5,0.6667,5
A,M,c1,12,3,1,4,0.7500,4
A,N,c1,11,4,2,3,0.6471,3
A,P,c1,13,2,3,2,0.7222,2
A_strict,A_strict,c1,12,0,0,8,1.0000,8
A_strict,B,c1,12,0,6,2,0.6667,2
A_strict,B_strict,c1,12,0,4,4,0.7500,4
A_strict,C,c1,11,1,6,2,0.6111,2
A_strict,C_strict,c1,11,1,6,2,0.6111,2
A_strict,D,c1,11,1,3,5,0.7333,5
A_strict,E,c1,12,0,5,3,0.7059,3
A_strict,F,c1,10,2,2,6,0.7143,6
A_strict,F_strict,c1,10,2,4,4,0.6250,4
A_strict,G,c1,12,0,3,5,0.8000,5
A_strict,G_strict,c1,11,1,2,6,0.7857,6
A_strict,H,c1,11,1,3,5,0.7333,5
A_strict,I,c1,12,0,3,5,0.8000,5
A_strict,J,c1,11,1,4,4,0.6875,4
A_strict,K,c1,10,2,1,7,0.7692,7
A_strict,L,c1,9,3,1,7,0.6923,7
A_strict,M,c1,9,3,4,4,0.5625,4
A_strict,N,c1,11,1,2,6,0.7857,6
A_strict,P,c1,10,2,6,2,0.5556,2
B,B,c1,18,0,0,2,1.0000,2
B,B_strict,c1,16,2,0,2,0.8889,2
B,C,c1,17,1,0,2,0.9444,2
B,C_strict,c1,17,1,0,2,0.9444,2
B,D,c1,14,4,0,2,0.7778,2
B,E,c1,17,1,0,2,0.9444,2
B,F,c1,12,6,0,2,0.6667,2
B,F_strict,c1,14,4,0,2,0.7778,2
B,G,c1,14,4,1,1,0.7368,1
B,G_strict,c1,13,5,0,2,0.7222,2
B,H,c1,14,4,0,2,0.7778,2
B,I,c1,15,3,0,2,0.8333,2
B,J,c1,15,3,0,2,0.8333,2
B,K,c1,11,7,0,2,0.6111,2
B,L,c1,10,8,0,2,0.5556,2
B,M,c1,13,5,0,2,0.7222,2
B,N,c1,13,5,0,2,0.7222,2
B,P,c1,15,3,1,1,0.7895,1
B_strict,B_strict,c1,16,0,0,4,1.0000,4
B_strict,C,c1,15,1,2,2,0.8333,2
B_strict,C_strict,c1,15,1,2,2,0.8333,2
B_strict,D,c1,14,2,0,4,0.8750,4
B_strict,E,c1,16,0,1,3,0.9412,3
B_strict,F,c1,12,4,0,4,0.7500,4
B_strict,F_strict,c1,13,3,1,3,0.7647,3
B_strict,G,c1,14,2,1,3,0.8235,3
B_strict,G_strict,c1,13,3,0,4,0.8125,4
B_strict,H,c1,14,2,0,4,0.8750,4
B_strict,I,c1,15,1,0,4,0.9375,4
B_strict,J,c1,15,1,0,4,0.9375,4
B_strict,K,c1,11,5,0,4,0.6875,4
B_strict,L,c1,10,6,0,4,0.6250,4
B_strict,M,c1,13,3,0,4,0.8125,4
